65,41,3
94,46,3
190,51,3
197,59,3
122,63,3
314,127,3
104,144,3
110,176,5
176,245,6
106,286,7
109,321,7
112,372,7
82,433,8
103,544,8
76,674,9
71,761,11
146,852,11
102,1005,11
133,1176,13
126,1316,14
110,1579,15
138,1766,16
100,1857,16
116,2021,17
148,2126,18
63,2249,18
141,2355,19
128,2462,20
161,2564,20
107,2696,22
135,2852,22
110,2964,23
138,3043,24
143,3165,24
91,3283,26
215,3385,27
122,3478,27
201,3603,27
111,3730,28
263,3896,30
326,4034,30
254,4151,30
162,4290,31
111,4430,31
137,4583,33
166,4751,34
211,4900,36
241,5033,37
148,5209,39
189,5342,39
141,5482,40
104,5641,41
112,5885,41
202,6076,42
135,6398,43
381,6588,43
187,6805,43
305,7023,45
193,7206,45
163,7390,46
426,7558,46
102,7753,51
301,7950,52
189,8129,52
171,8327,53
166,8582,53
156,8799,53
131,9076,54
229,9316,54
211,9535,54
272,9755,54
210,9983,54
115,10156,54
113,10572,54
134,10799,54
108,10997,55
65,11210,55
119,11431,55
72,11631,55
125,11806,56
99,11984,56
129,12153,56
68,12311,56
40,12608,56
83,12716,56
40,12822,56
60,12941,57
93,13030,57
63,13155,58
51,13270,58
43,13353,58
54,13421,58
22,13494,58
88,13565,58
20,13621,58
37,13682,58
68,13758,58
77,13803,58
39,13858,58
71,13906,58
72,13976,58
67,14038,58
78,14063,58
75,14108,58
22,14147,58
35,14203,58
18,14261,58
21,14302,58
10,14343,58
22,14414,58
22,14469,58
16,14533,58
27,14628,58
15,14724,58
39,14784,58
25,14822,58
35,14844,58
5,14872,58
14,14908,58
1,14926,58
9,14945,58
4,14957,58
9,14973,58
1,14982,58
16,14997,58
10,15012,58
6,15049,58
8,15070,58
3,15088,58
5,15121,58
10,15130,58
3,15154,58
11,15159,58
3,15163,58
5,15164,58
4,15171,58
17,15177,58
8,15179,58
7,15198,58
10,15216,58
16,15218,59
18,15230,60
,15236,60
