                 Country;              IR;               R;              AR
              Montenegro;             151;           0.834;         548.000
              Costa_Rica;             160;           1.038;         404.000
                 Moldova;             166;           1.057;         987.000
               Argentina;             175;           1.093;         491.000
                    Oman;             176;           0.607;        1613.000
                 Bolivia;             182;           1.005;         724.000
      Dominican_Republic;             183;           1.024;         704.000
              Luxembourg;             186;           0.900;        1129.000
                  Kuwait;             196;           0.946;        1648.000
            South_Africa;             230;           0.885;         905.000
                  Israel;             241;           0.949;         860.000
                    Peru;             249;           1.156;        1377.000
                Colombia;             253;           1.105;         687.000
                      US;             266;           0.942;        1515.000
                Maldives;             281;           1.477;         864.000
                 Bahrain;             297;           0.909;        2578.000
                  Brazil;             299;           1.030;        1356.000
                  Panama;             337;           1.018;        1654.000
